College Name,Code
"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune",6178
"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",6182
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",1114
"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",4137
"Smt. Indira Gandhi College of Engineering, Navi Mumbai",3192
"St. Francis Institute of Technology,Borivali, Mumbai",3204
"Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering, Kamshet,Pune.",6767
"Suryodaya College of Engineering & Technology, Nagpur",4613
"Swaminarayan Siddhanta Institute Of Technology, Nagpur",4181
"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",5168
"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",6649
"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",6122
"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",6268
"Terna Engineering College, Nerul, Navi Mumbai",3190
"Terna Public Charitable Trust's College of Engineering, Osmanabad",2130
"Thadomal Shahani Engineering College, Bandra, Mumbai",3182
"Thakur College of Engineering and Technology, Kandivali, Mumbai",3176
"Universal College of Engineering & Research, Sasewadi",6625
"Universal College of Engineering,Kaman Dist. Palghar",3460
"University Department of Chemical Technology, Aurangabad",2021
"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon",5003
"Usha Mittal Institute of Technology SNDT  Women's University, Mumbai",3035
"V M Institute of Engineering and Technology, Dongargaon, Nagpur",4285
"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",3462
"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",3188
"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",3012
"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur",4151
"Vidya Niketan College of Engineering, Bota Sangamner",5408
"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala",6815
"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",6284
"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur",6321
"Vidyalankar Institute of Technology,Wadala, Mumbai",3139
"Vidyavardhini's College of Engineering and Technology, Vasai",3194
"Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",3217
"Vilasrao Deshmukh Foundation Group of Institutions, Latur",2254
"Vishwabharati Academy's College of Engineering, Ahmednagar",5179
"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",3467
"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research",3445
"Vision Buldhana Educational & Welfare Society 's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",1130
"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",3185
"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR",3214
"Wainganga College of Engineering and Management, Dongargaon, Nagpur",4145
"Walchand College of Engineering, Sangli",6007
"Walchand Institute of Technology, Solapur",6265
"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",3214
Yadavrao Tasgaonkar College of Engineering & Management,Auto
"Yashoda Technical Campus, Wadhe, Satara.",6757
"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",4167
"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",6298
